id,question,answer1,answer2,answer3,answer4,correctAnswer,explanation,signId,image,chapter,isFailingPoint,newExplanation,isHard,isSaved,questionStatus
101,Người lái xe phải làm gì khi điều khiển xe vào đường cao tốc?,Phải có tín hiệu xin vào và phải nhường đường cho xe đang chạy trên đường; khi thấy an toàn mới cho xe nhập vào dòng xe ở làn đường sát mép ngoài; nếu có làn đường tăng tốc thì phải cho xe chạy trên làn đường đó trước khi vào làn đường của đường cao tốc.,Phải có tín hiệu xin vào và phải nhanh chóng vượt xe đang chạy trên đường để nhập vào dòng xe ở làn đường sát mép ngoài; nếu có làn đường tăng tốc thì phải cho xe chạy qua làn đường đó để vào làn đường của đường cao tốc.,,,1,Vào cao tốc phải nhường đường cho xe đang chạy trên đường.,,,1,1,"Vào đường cao tốc phải nhường đường cho xe đang chạy trên đường. Xe di chuyển trên cao tốc có tốc độ rất cao, tuyệt không được cắt mặt hay dành đường.",,,
102,"Trên đường cao tốc, người lái xe phải dừng xe, đỗ xe như thế nào để đảm bảo an toàn giao thông?","Không được dừng xe, đỗ xe hoặc chỉ được dừng xe, đỗ xe ở nơi đường rộng, nếu dừng, đỗ xe ở nơi đường hẹp phải sử dụng còi báo hiệu để người lái xe khác biết.","Chỉ được dừng xe, đỗ xe ở nơi quy định, trường hợp buộc phải dừng xe, đỗ xe không đúng nơi quy định thì người lái xe phải đưa xe ra khỏi phần đường xe chạy, nếu không thể được thì phải báo hiệu để ngư","Chỉ được dừng xe, đỗ xe ở nơi đường rộng; trường hợp dừng xe, đỗ xe tại nơi đường hẹp phải đặt các chướng ngại vật trên đường để yêu cầu người lái xe khác giảm tốc độ để bảo đảm an toàn.",,2,Trên cao tốc chỉ dừng đỗ ở nơi quy định.,,,1,,Trên cao tốc chỉ dừng đỗ ở nơi quy định.,,,
103,"Những trường hợp nào ghi ở dưới đây không được đi vào đường cao tốc trừ người, phương tiện, thiết bị phục vụ cho việc quản lý, bảo trì đường cao tốc?","Người đi bộ, xe thô sơ, xe gắn máy, xe mô tô và máy kéo; xe máy chuyên dùng có tốc độ thiết kế nhỏ hơn 70km/h.",Xe mô tô và xe máy chuyên dùng có tốc độ thiết kế lớn hơn 70km/h.,"Người đi bộ, xe thô sơ, xe gắn máy và xe ô tô.",,1,Xe thiết kế nhỏ hơn 70km/h không được vào cao tốc.,,,1,,Phương tiện có thiết kế tốc độ nhỏ hơn 70 km/h không được vào cao tốc.,,,
104,Người điều khiển phương tiện tham gia giao thông trong hầm đường bộ ngoài việc phải tuân thủ các quy tắc giao thông còn phải thực hiện những quy định nào dưới đây?,"Xe cơ giới, xe máy chuyên dùng phải bật đèn; xe thô sơ phải bật đèn hoặc có vật phát sáng báo hiệu; chỉ được dừng xe, đỗ xe ở nơi quy định.","Xe cơ giới phải bật đèn ngay cả khi đường hầm sáng; phải cho xe chạy trên một làn đường và chỉ chuyển làn ở nơi được phép; được quay đầu xe, lùi xe khi cần thiết.","Xe máy chuyên dùng phải bật đèn ngay cả khi đường hầm sáng; phải cho xe chạy trên một làn đường và chỉ chuyển làn ở nơi được phép; được quay đầu xe, lùi xe khi cần thiết.",,1,"Trong hầm chỉ được dừng xe, đỗ xe ở nơi quy định.",,,1,,"Trong hầm đường bộ, CHÚ Ý tuyệt đối không được quay đầu và lùi xe.",,,
105,"Xe quá tải trọng, quá khổ giới hạn tham gia giao thông cần tuân thủ quy định nào ghi ở dưới đây?","Phải được cơ quan quản lý đường bộ có thẩm quyền cấp phép và phải thực hiện các biện pháp bắt buộc để bảo vệ đường bộ, bảo đảm an toàn giao thông.",Chủ phương tiện và lái xe chỉ cần thực hiện biện pháp để hạn chế việc gây hư hại đường bộ.,Được tham gia giao thông trên đường rộng.,Chỉ được tham gia giao thông vào ban đêm.,1,Xe quá tải trọng phải do cơ quan quản lý đường bộ cấp phép.,,,1,,"Phải được cơ quan có thẩm quyền cấp giấy phép, ví dụ như các xe siêu trường siêu trọng, chở hàng to hoặc dài đặc biệt.",,,
106,Việc nối giữa xe kéo với xe được kéo trong trường hợp hệ thống hãm của xe được kéo không còn hiệu lực thì phải dùng cách nào?,Dùng dây cáp có độ dài 10 mét.,Dùng dây cáp có độ dài 5 mét.,Dùng thanh nối cứng.,,3,Kéo xe không hệ thống hãm phải dùng thanh nối cứng.,,,1,,"Nếu phanh của xe được kéo không còn hiệu lực, bắt buộc phải dùng THANH NỐI CỨNG để cố định xe được kéo, nhằm đảm bảo an toàn.",,,
107,Xe kéo rơ moóc khi tham gia giao thông phải tuân thủ điều kiện nào ghi ở dưới đây?,Phải có tổng trọng lượng lớn hơn tổng trọng lượng của rơ moóc hoặc phải có hệ thống hãm có hiệu lực cho rơ moóc.,Phải có tổng trọng lượng tương đương tổng trọng lượng của rơ moóc hoặc phải có hệ thống hãm có hiệu lực cho xe kéo rơ moóc.,Phải được lắp phanh phụ theo quy định để đảm bảo an toàn.,,1,Trọng lượng xe kéo rơ moóc phải lớn hơn rơ moóc.,,,1,,Trọng lượng của xe kéo rơ moóc phải LỚN hơn rơ moóc.,,,
108,Xe ô tô kéo xe khác thế nào là đúng quy tắc giao thông?,Được kéo theo một xe ô tô hoặc xe máy chuyên dùng khác khi xe này không tự chạy được và phải đảm bảo an toàn; xe được kéo phải có người điều khiển và hệ thống lái của xe đó phải còn hiệu lực; trường hợp hệ thống hãm của xe được kéo không còn hiệu lực thì xe kéo nhau phải nối bằng thanh nối cứng.,Được kéo theo một xe ô tô và xe máy chuyên dùng khác khi xe này không tự chạy được và phải đảm bảo an toàn; xe được kéo phải có người ngồi trên xe để kịp thời phát hiện các trường hợp mất an toàn.,"Được kéo theo một xe ô tô và xe máy chuyên dùng khác khi xe này không tự chạy được và hệ thống phanh bị hỏng, xe kéo nhau phải nối bằng dây cáp có độ dài phù hợp.",,1,Kéo xe không hệ thống hãm phải dùng thanh nối cứng.,,,1,,"Nếu phanh của xe được kéo không còn hiệu lực, bắt buộc phải dùng THANH NỐI CỨNG.",,,
109,"Người ngồi trên xe mô tô 2 bánh, xe gắn máy phải đội mũ bảo hiểm có cài quai đúng quy cách khi nào?",Khi tham gia giao thông đường bộ.,Chỉ khi đi trên đường chuyên dùng; đường cao tốc.,Khi tham gia giao thông trên đường tỉnh lộ hoặc quốc lộ.,,1,,,,1,1,"Nếu tham gia giao thông là phải đội nón bảo hiểm, bắt buộc cho cả người lái, người ngồi sau và trẻ em.",,,
110,"Người điều khiển xe mô tô hai bánh, xe gắn máy được phép chở tối đa 2 người trong những trường hợp nào?",Chở người bệnh đi cấp cứu; trẻ em dưới 14 tuổi.,Áp giải người có hành vi vi phạm pháp luật.,Cả ý 1 và ý 2.,,3,,,,1,,"Câu hỏi có nội dung chở tối đa 2 người, tức là trên xe có 3 người, chú ý kẻo nhầm lẫn.",,,
111,"Người điều khiển xe mô tô hai bánh, xe gắn máy không được thực hiện những hành vi nào dưới đây?","Đi vào phần đường dành cho người đi bộ và phương tiện khác; sử dụng ô, điện thoại di động, thiết bị âm thanh (trừ thiết bị trợ thính), đi xe dàn hàng ngang.","Chở 02 người; trong đó, có người bệnh đi cấp cứu hoặc trẻ em dưới 14 tuổi hoặc áp giải người có hành vi vi phạm pháp luật.",Điều khiển phương tiện tham gia giao thông trên đường tỉnh lộ hoặc quốc lộ.,,1,Xe mô tô hai bánh không được bi vào phần đường dành cho người đi bộ.,,,1,,"CHÚ Ý: không được đi vào phần đường dành cho người đi bộ, ví dụ như leo lề.",,,
112,"Người điều khiển xe mô tô hai bánh, xe gắn máy có được đi xe dàn hàng ngang; đi xe vào phần đường dành cho người đi bộ và phương tiện khác; sử dụng ô, điện thoại di động, thiết bị âm thanh (trừ thiết bị trợ thính) hay không?",Được phép nhưng phải đảm bảo an toàn.,Không được phép.,"Được phép tùy từng hoàn cảnh, điều kiện cụ thể.",,2,,,,1,1,Mọi hành vi gây nguy hiểm (hoặc tiềm ẩn nguy cơ gây nguy hiểm) đều bị cấm khi tham gia giao thông.,,,
113,Người lái xe phải giảm tốc độ thấp hơn tốc độ tối đa cho phép (có thể dừng lại một cách an toàn) trong trường hợp nào dưới đây?,"Khi có báo hiệu cảnh báo nguy hiểm hoặc có chướng ngại vật trên đường; khi chuyển hướng xe chạy hoặc tầm nhìn bị hạn chế; khi qua nơi đường giao nhau, nơi đường bộ giao nhau với đường sắt; đường vòng; đường có địa hình quanh co, đèo dốc.","Khi qua cầu, cống hẹp; khi lên gần đỉnh dốc, khi xuống dốc, khi qua trường học, khu đông dân cư, khu vực đang thi công trên đường bộ; hiện trường xảy ra tai nạn giao thông.","Khi điều khiển xe vượt xe khác trên đường quốc lộ, đường cao tốc.",Cả ý 1 và ý 2.,4,,,,1,,"Ý 3 sai, do khi vượt xe thì phải tăng tốc để vượt. Đáp án là ý 1 và 2 chính xác.",,,
114,"Khi gặp một đoàn xe, một đoàn xe tang hay gặp một đoàn người có tổ chức theo đội ngũ, người lái xe phải xử lý như thế nào?","Từ từ đi cắt qua đoàn người, đoàn xe.","Không được cắt ngang qua đoàn người, đoàn xe.",Báo hiệu từ từ cho xe đi cắt qua để bảo đảm an toàn.,,2,,,,1,1,"Đoàn xe tang, hoặc đoàn xe có tổ chức đi theo đội ngũ được xem là được ưu tiên theo luật định, thế nên không được cắt ngang, mà phải nhường đường.",,,
115,"Tại ngã ba hoặc ngã tư không có đảo an toàn, người lái xe phải nhường đường như thế nào là đúng trong các trường hợp dưới đây?","Nhường đường cho người đi bộ đang đi trên phần đường dành cho người đi bộ sang đường; nhường đường cho xe đi trên đường ưu tiên, đường chính từ bất kỳ hướng nào tới; nhường đường cho xe ưu tiên, xe đi từ bên phải đến.","Nhường đường cho người đi bộ đang đứng chờ đi qua phần đường dành cho người đi bộ sang đường; nhường đường cho xe đi trên đường ngược chiều, đường nhánh từ bất kỳ hướng nào tới; nhường đường cho xe đi từ bên trái đến.",Không phải nhường đường.,,1,Người lái xe phải nhường đường cho xe ưu tiên.,,,1,,CHÚ Ý: Người lái xe phải nhường đường cho xe ưu tiên.,,,
116,Khi điều khiển xe cơ giới người lái xe phải bật đèn tín hiệu rẽ nào trong các trường hợp nào sau đây?,Khi cho xe chạy thẳng.,Trước khi thay đổi làn đường.,Sau khi thay đổi làn đường.,,2,Phải bật đèn tín hiệu rẽ trước khi thay đổi làn đường.,,,1,,"Mẹo ghi nhớ: tín hiệu xe phải được sử dụng trước để báo hiệu cho người khác về ý định đổi hướng của mình, ví dụ như chuyển làn, rẽ trái rẽ phải.",,,
117,"Trên đoạn đường hai chiều không có giải phân cách giữa, người lái xe không được vượt xe khác trong các trường hợp nào dưới đây?",Xe bị vượt bất ngờ tăng tốc độ và cố tình không nhường đường.,Xe bị vượt giảm tốc độ và nhường đường.,Phát hiện có xe đi ngược chiều.,Cả ý 1 và ý 3.,4,Không được vượt khi xe bị vượt bất ngờ tăng tốc hoặc phát hiện có xe đi ngược chiều.,,,1,,Ý 1 và 3 đúng vì vượt xe trong trường hợp như vậy tiềm ẩn nguy cơ cao gây tai nạn.,,,
118,"Khi lái xe trên đường vắng mà cảm thấy buồn ngủ, người lái xe nên chọn cách xử lý như thế nào cho phù hợp?",Tăng tốc độ kết hợp với nghe nhạc và đi tiếp.,Quan sát và dừng xe tại nơi quy định; nghỉ cho đến khi hết buồn ngủ và đi tiếp.,Sử dụng một ít rượu hoặc bia để hết buồn ngủ và đi tiếp.,,2,,,,1,1,"Khi buồn ngủ hoặc mệt mỏi, nên có các trạm nghỉ thường xuyên (khoảng 1 đến 1,5 giờ) trên đường để phục hồi sức khoẻ và sự tập trung khi lái xe.",,,
119,"Trên đường cao tốc, người lái xe xử lý như thế nào khi đã vượt quá lối ra của đường định rẽ?","Quay xe, chạy trên lề đường bên phải và rẽ khỏi đường cao tốc.",Lùi xe sát lề đường bên phải và rẽ khỏi đường cao tốc.,Tiếp tục chạy đến lối ra tiếp theo.,,3,Trên cao tốc vượt quá lối rẽ thì chạy đến lối ra tiếp theo.,,,1,1,"Trên cao tốc CẤM quay xe, lùi xe.",,,
120,Người lái xe mô tô xử lý như thế nào khi cho xe mô tô phía sau vượt?,"Nếu đủ điều kiện an toàn, người lái xe phải giảm tốc độ, đi sát về bên phải của phần đường xe chạy cho đến khi xe sau đã vượt qua, không được gây trở ngại đối với xe xin vượt.","Lái xe vào lề đường bên trái và giảm tốc độ để xe phía sau vượt qua, không được gây trở ngại đối với xe xin vượt.","Nếu đủ điều kiện an toàn, người lái xe phải tăng tốc độ, đi sát về bên phải của phần đường xe chạy cho đến khi xe sau đã vượt qua.",,1,Xử lý cho xe sau vượt thì giảm tốc độ và đi về bên phải.,,,1,,"CHÚ Ý: giảm tốc độ, đi về phía bên phải đường, nhường đường cho xe xin vượt.",,,
121,"Khi xe ô tô bị hỏng tại vị trí giao nhau giữa đường bộ và đường sắt, người lái xe xử lý như thế nào?","Nhanh chóng đặt báo hiệu trên đường sắt cách tối thiểu 500 mét về hai phía để báo cho người điều khiển phương tiện đường sắt và tìm cách báo cho người quản lý đường sắt, nhà ga nơi gần nhất, đồng thời phải bằng mọi biện pháp nhanh chóng đưa ô tô hỏng ra khỏi phạm vi an toàn đường sắt.",Nhanh chóng đặt biển cảnh báo nguy hiểm tại vị trí xe ô tô bị hỏng để đoàn tàu dừng lại.,Liên hệ ngay với đơn vị cứu hộ để đưa ô tô hỏng ra khỏi phạm vi an toàn đường sắt.,,1,Xe hỏng tại vị trí giao nhau đường sắt thì đặt báo hiệu trên đường sắt tối thiểu 500m về hai phía.,,,1,,"CHÚ Ý: Báo hiệu trên đường sắt cách tối thiểu 500 mét, để xe lửa thắng kịp.",,,
122,"Trong các trường hợp dưới đây, để đảm bảo an toàn khi tham gia giao thông, người lái xe mô tô cần thực hiện như thế nào?","Phải đội mũ bảo hiểm đạt chuẩn, có cài quai đúng quy cách, mặc quần áo gọn gàng; không sử dụng ô, điện thoại di động, thiết bị âm thanh (trừ thiết bị trợ thính).","Phải đội mũ bảo hiểm khi trời mưa gió hoặc trời quá nắng; có thể sử dụng ô, điện thoại di động, thiết bị âm thanh nhưng phải đảm bảo an toàn.",Phải đội mũ bảo hiểm khi cảm thấy mất an toàn giao thông hoặc khi chuẩn bị di chuyển quãng đường xa.,,1,,,,1,,"CHÚ Ý: Khi tham gia giao thông, BẮT BUỘC phải đội mũ bảo hiểm đúng quy cách, và KHÔNG được dùng ô.",,,
123,Đường bộ trong khu vực đông dân cư gồm những đoạn đường nào dưới đây?,Là đoạn đường nằm trong khu công nghiệp có đông người và phương tiện tham gia giao thông và được xác định cụ thể bằng biển chỉ dẫn địa giới.,"Là đoạn đường bộ nằm trong khu vực nội thành phố, nội thị xã, nội thị trấn và những đoạn đường có dân cư sinh sống sát dọc theo đường, có các hoạt động có thể ảnh hưởng đến giao thông đường bộ và được xác định bằng biển báo là đường qua khu đông dân cư.","Là đoạn đường nằm ngoài khu vực nội thành phố, nội thị xã có đông người và phương tiện tham gia giao thông và được xác định cụ thể bằng biển chỉ dẫn địa giới.",,2,Đường bộ trong khu vực đông dân cư được xác định bằng biển báo.,R.420,,1,,Đoạn đường bộ trong khu vực đồng dân cư được xác định bằng biển báo R.420 - Bắt đầu khu đông dân cư.,,,
124,"Tốc độ tối đa cho phép đối với xe máy chuyên dùng, xe gắn máy (kể cả xe máy điện) và các loại xe tương tự trên đường bộ (trừ đường cao tốc) không được vượt quá bao nhiêu km/h?",50 km/h.,40 km/h.,60 km/h.,,2,Xe gắn máy tối đa 40km/h.,,,1,,"CHÚ Ý: Rất nhiều bạn sai câu này.  Xe máy chuyên dùng, xe gắn máy tốc độ tối đa chỉ là 40 km/h.  Xe máy chuyên dùng, xe gắn máy KHÁC xe mô tô. Đa số các loại xe Honda Yamaha trên thị trường đều được xếp là xe mô tô.",1,,
125,"Trên đường bộ (trừ đường cao tốc) trong khu vực đông dân cư, đường đôi có dải phân cách giữa, xe mô tô hai bánh, ô tô chở người đến 30 chỗ tham gia giao thông với tốc độ tối đa cho phép là bao nhiêu?",60 km/h.,50 km/h.,40 km/h.,,1,"Có giải phân cách giữa thì được xem là đường đôi.
Trong khu vực đông dân cư, đường đôi; đường một chiều có từ hai làn xe cơ giới trở lên: 60km/h.",,,1,,"- Xe máy chuyên dụng, xe gắn máy: luôn là 40 km/h

- Khu vực đông dân cư:
    Đường đôi, đường 1 chiều 2 làn xe trở lên: 
        + Toàn bộ phương tiện: 60 km/h 
    Đường hai chiều, đường 1 chiều có 1 làn xe: 
        + Toàn bộ phương tiện: 50 km/h 

- Ngoài khu vực đông dân cư:
    Đường đôi, đường 1 chiều 2 làn xe trở lên: 
        + Ô tô kéo rơ moóc, trộn bê tông: 60 km/h
        + Mô tô, đầu kéo, ô tô buýt: 70 km/h 
        + Ô tô trên 30 chỗ, tải trọng trên 3,5 tấn: 80 km/h 
        + Ô tô ĐẾN 30 chỗ, tải trọng nhỏ hơn 3,5 tấn: 90 km/h 
    Đường hai chiều, đường 1 chiều có 1 làn xe: 
        + Ô tô kéo rơ moóc, trộn bê tông: 50 km/h 
        + Mô tô, đầu kéo, ô tô buýt: 60 km/h 
        + Ô tô trên 30 chỗ, tải trọng trên 3,5 tấn: 70 km/h 
        + Ô tô ĐẾN 30 chỗ, tải trọng nhỏ hơn 3,5 tấn: 80 km/h",1,,
126,"Trên đường bộ (trừ đường cao tốc) trong khu vực đông dân cư, đường hai chiều không có dải phân cách giữa, xe mô tô hai bánh, ô tô chở người đến 30 chỗ tham gia giao thông với tốc độ tối đa cho phép là bao nhiêu?",60 km/h.,50 km/h.,40 km/h.,,2,"Trong khu vực đông dân cư, đường hai chiều; đường một chiều có một làn xe cơ giới: 50km/h.",,,1,,"- Xe máy chuyên dụng, xe gắn máy: luôn là 40 km/h

- Khu vực đông dân cư:
    Đường đôi, đường 1 chiều 2 làn xe trở lên: 
        + Toàn bộ phương tiện: 60 km/h 
    Đường hai chiều, đường 1 chiều có 1 làn xe: 
        + Toàn bộ phương tiện: 50 km/h 

- Ngoài khu vực đông dân cư:
    Đường đôi, đường 1 chiều 2 làn xe trở lên: 
        + Ô tô kéo rơ moóc, trộn bê tông: 60 km/h
        + Mô tô, đầu kéo, ô tô buýt: 70 km/h 
        + Ô tô trên 30 chỗ, tải trọng trên 3,5 tấn: 80 km/h 
        + Ô tô ĐẾN 30 chỗ, tải trọng nhỏ hơn 3,5 tấn: 90 km/h 
    Đường hai chiều, đường 1 chiều có 1 làn xe: 
        + Ô tô kéo rơ moóc, trộn bê tông: 50 km/h 
        + Mô tô, đầu kéo, ô tô buýt: 60 km/h 
        + Ô tô trên 30 chỗ, tải trọng trên 3,5 tấn: 70 km/h 
        + Ô tô ĐẾN 30 chỗ, tải trọng nhỏ hơn 3,5 tấn: 80 km/h",,,
127,"Trên đường bộ (trừ đường cao tốc) trong khu vực đông dân cư, đường hai chiều hoặc đường một chiều có một làn xe cơ giới, loại xe nào tham gia giao thông với tốc độ tối đa cho phép là 50 km/h?","Ô tô con, ô tô tải, ô tô chở người trên 30 chỗ.","Xe gắn máy, xe máy chuyên dùng.",Cả ý 1 và ý 2.,,1,"Xe cơ giới không bao gồm xe gắn máy.
Trong khu vực đông dân cư, đường đôi; đường một chiều có một làn xe cơ giới trở lên: 50km/h.",,,1,,"- Xe máy chuyên dụng, xe gắn máy: luôn là 40 km/h

- Khu vực đông dân cư:
    Đường đôi, đường 1 chiều 2 làn xe trở lên: 
        + Toàn bộ phương tiện: 60 km/h 
    Đường hai chiều, đường 1 chiều có 1 làn xe: 
        + Toàn bộ phương tiện: 50 km/h 

- Ngoài khu vực đông dân cư:
    Đường đôi, đường 1 chiều 2 làn xe trở lên: 
        + Ô tô kéo rơ moóc, trộn bê tông: 60 km/h
        + Mô tô, đầu kéo, ô tô buýt: 70 km/h 
        + Ô tô trên 30 chỗ, tải trọng trên 3,5 tấn: 80 km/h 
        + Ô tô ĐẾN 30 chỗ, tải trọng nhỏ hơn 3,5 tấn: 90 km/h 
    Đường hai chiều, đường 1 chiều có 1 làn xe: 
        + Ô tô kéo rơ moóc, trộn bê tông: 50 km/h 
        + Mô tô, đầu kéo, ô tô buýt: 60 km/h 
        + Ô tô trên 30 chỗ, tải trọng trên 3,5 tấn: 70 km/h 
        + Ô tô ĐẾN 30 chỗ, tải trọng nhỏ hơn 3,5 tấn: 80 km/h",1,,
128,"Trên đường bộ (trừ đường cao tốc) trong khu vực đông dân cư, đường đôi hoặc đường một chiều có từ hai làn xe cơ giới trở lên, loại xe nào tham gia giao thông với tốc độ tối đa cho phép là 60 km/h?","Ô tô con, ô tô tải, ô tô chở người trên 30 chỗ.","Xe gắn máy, xe máy chuyên dùng.",Cả ý 1 và ý 2.,,1,"Xe cơ giới không bao gồm xe gắn máy.
Trong khu vực đông dân cư, đường đôi; đường một chiều có từ hai làn xe cơ giới trở lên: 60km/h.",,,1,,"- Xe máy chuyên dụng, xe gắn máy: luôn là 40 km/h

- Khu vực đông dân cư:
    Đường đôi, đường 1 chiều 2 làn xe trở lên: 
        + Toàn bộ phương tiện: 60 km/h 
    Đường hai chiều, đường 1 chiều có 1 làn xe: 
        + Toàn bộ phương tiện: 50 km/h 

- Ngoài khu vực đông dân cư:
    Đường đôi, đường 1 chiều 2 làn xe trở lên: 
        + Ô tô kéo rơ moóc, trộn bê tông: 60 km/h
        + Mô tô, đầu kéo, ô tô buýt: 70 km/h 
        + Ô tô trên 30 chỗ, tải trọng trên 3,5 tấn: 80 km/h 
        + Ô tô ĐẾN 30 chỗ, tải trọng nhỏ hơn 3,5 tấn: 90 km/h 
    Đường hai chiều, đường 1 chiều có 1 làn xe: 
        + Ô tô kéo rơ moóc, trộn bê tông: 50 km/h 
        + Mô tô, đầu kéo, ô tô buýt: 60 km/h 
        + Ô tô trên 30 chỗ, tải trọng trên 3,5 tấn: 70 km/h 
        + Ô tô ĐẾN 30 chỗ, tải trọng nhỏ hơn 3,5 tấn: 80 km/h",,,
129,"Trên đường bộ (trừ đường cao tốc) ngoài khu vực đông dân cư, đường đôi có dải phân cách giữa, loại xe nào tham gia giao thông với tốc độ tối đa cho phép là 90 km/h?","Ô tô chở người trên 30 chỗ (trừ ô tô buýt), ô tô tải có trọng tải trên 3.500 kg.","Xe ô tô con, xe ô tô chở người đến 30 chỗ (trừ ô tô buýt), ô tô tải có trọng tải đến 3.500 kg","Ô tô buýt, ô tô đầu kéo kéo sơ mi rơ moóc, ô tô chuyên dùng, xe mô tô.",,2,"Đường có giải phân cách được xem là đường đôi.
Ngoài khu vực dân cư; đường đôi; đường một chiều có hai làn xe cơ giới trở lên: ô tô kéo rơ moóc 60km/h; mô tô, xe buýt, ô tô đầu kéo: 70km/h; xe trên 30 chỗ, xe tải trên 3,5 tấn: 80km/h; xe con, xe đến 30 chỗ, tải dưới 3,5 tấn: 90km/h.",,,1,,"- Xe máy chuyên dụng, xe gắn máy: luôn là 40 km/h

- Khu vực đông dân cư:
    Đường đôi, đường 1 chiều 2 làn xe trở lên: 
        + Toàn bộ phương tiện: 60 km/h 
    Đường hai chiều, đường 1 chiều có 1 làn xe: 
        + Toàn bộ phương tiện: 50 km/h 

- Ngoài khu vực đông dân cư:
    Đường đôi, đường 1 chiều 2 làn xe trở lên: 
        + Ô tô kéo rơ moóc, trộn bê tông: 60 km/h
        + Mô tô, đầu kéo, ô tô buýt: 70 km/h 
        + Ô tô trên 30 chỗ, tải trọng trên 3,5 tấn: 80 km/h 
        + Ô tô ĐẾN 30 chỗ, tải trọng nhỏ hơn 3,5 tấn: 90 km/h 
    Đường hai chiều, đường 1 chiều có 1 làn xe: 
        + Ô tô kéo rơ moóc, trộn bê tông: 50 km/h 
        + Mô tô, đầu kéo, ô tô buýt: 60 km/h 
        + Ô tô trên 30 chỗ, tải trọng trên 3,5 tấn: 70 km/h 
        + Ô tô ĐẾN 30 chỗ, tải trọng nhỏ hơn 3,5 tấn: 80 km/h",,,
130,"Trên đường bộ ngoài khu vực đông dân cư, đường đôi có dải phân cách giữa (trừ đường cao tốc), loại xe nào tham gia giao thông với tốc độ tối đa cho phép là 80 km/h?",Ô tô buýt; ô tô đầu kéo kéo sơ mi rơ moóc; ô tô chuyên dùng; xe mô tô.,"Ô tô chở người trên 30 chỗ (trừ ô tô buýt), ô tô tải có trọng tải trên 3.500 kg (trừ ô tô xi téc).","Ô tô kéo rơ moóc, ô tô kéo xe khác, xe gắn máy.","Xe ô tô con, xe ô tô chở người đến 30 chỗ (trừ ô tô buýt), ô tô tải có trọng tải đến 3.500 kg.",2,"Đường có giải phân cách được xem là đường đôi.
Ngoài khu vực dân cư; đường đôi; đường một chiều có hai làn xe cơ giới trở lên: ô tô kéo rơ moóc 60km/h; mô tô, xe buýt, ô tô đầu kéo: 70km/h; xe trên 30 chỗ, xe tải trên 3,5 tấn: 80km/h; xe con, xe đến 30 chỗ, tải dưới 3,5 tấn: 90km/h.",,,1,,"- Xe máy chuyên dụng, xe gắn máy: luôn là 40 km/h

- Khu vực đông dân cư:
    Đường đôi, đường 1 chiều 2 làn xe trở lên: 
        + Toàn bộ phương tiện: 60 km/h 
    Đường hai chiều, đường 1 chiều có 1 làn xe: 
        + Toàn bộ phương tiện: 50 km/h 

- Ngoài khu vực đông dân cư:
    Đường đôi, đường 1 chiều 2 làn xe trở lên: 
        + Ô tô kéo rơ moóc, trộn bê tông: 60 km/h
        + Mô tô, đầu kéo, ô tô buýt: 70 km/h 
        + Ô tô trên 30 chỗ, tải trọng trên 3,5 tấn: 80 km/h 
        + Ô tô ĐẾN 30 chỗ, tải trọng nhỏ hơn 3,5 tấn: 90 km/h 
    Đường hai chiều, đường 1 chiều có 1 làn xe: 
        + Ô tô kéo rơ moóc, trộn bê tông: 50 km/h 
        + Mô tô, đầu kéo, ô tô buýt: 60 km/h 
        + Ô tô trên 30 chỗ, tải trọng trên 3,5 tấn: 70 km/h 
        + Ô tô ĐẾN 30 chỗ, tải trọng nhỏ hơn 3,5 tấn: 80 km/h",1,,
